Timestamp,X,Y,Z
2569-08-21 12:24:36.573,0.007723406,0.6879107,0.3039118
2569-08-21 12:24:36.573,0.007723406,0.6879107,0.3039118
2569-08-21 12:24:36.581,0.007723406,0.6879107,0.3039118
2569-08-21 12:24:36.581,0.008184295,0.6878508,0.3039612
2569-08-21 12:24:36.581,0.008184295,0.6878508,0.3039612
2569-08-21 12:24:36.597,0.008560307,0.6878027,0.303999
2569-08-21 12:24:36.597,0.008560307,0.6878027,0.303999
2569-08-21 12:24:36.606,0.008560307,0.6878027,0.303999
2569-08-21 12:24:36.606,0.009298813,0.68771,0.3040671
2569-08-21 12:24:36.606,0.009298813,0.68771,0.3040671
2569-08-21 12:24:36.614,0.009298813,0.68771,0.3040671
2569-08-21 12:24:36.618,0.009693336,0.6876614,0.3041
2569-08-21 12:24:36.618,0.009693336,0.6876614,0.3041
2569-08-21 12:24:36.627,0.01020388,0.6875996,0.3041391
2569-08-21 12:24:36.627,0.01020388,0.6875996,0.3041391
2569-08-21 12:24:36.638,0.01020388,0.6875996,0.3041391
2569-08-21 12:24:36.642,0.01068237,0.6875427,0.3041722
2569-08-21 12:24:36.642,0.01068237,0.6875427,0.3041722
2569-08-21 12:24:36.652,0.01129736,0.6874711,0.3042096
2569-08-21 12:24:36.652,0.01129736,0.6874711,0.3042096
2569-08-21 12:24:36.661,0.01129736,0.6874711,0.3042096
2569-08-21 12:24:36.662,0.01167427,0.6874279,0.3042297
2569-08-21 12:24:36.662,0.01167427,0.6874279,0.3042297
2569-08-21 12:24:36.671,0.01208526,0.6873816,0.3042492
2569-08-21 12:24:36.671,0.01208526,0.6873816,0.3042492
2569-08-21 12:24:36.680,0.01208526,0.6873816,0.3042492
2569-08-21 12:24:36.687,0.01242433,0.687344,0.3042633
2569-08-21 12:24:36.687,0.01242433,0.687344,0.3042633
2569-08-21 12:24:36.695,0.01242433,0.687344,0.3042633
2569-08-21 12:24:36.695,0.01304864,0.687276,0.3042848
2569-08-21 12:24:36.695,0.01304864,0.687276,0.3042848
2569-08-21 12:24:36.708,0.01336962,0.6872417,0.3042936
